Time,HIGH,LOW,LAST,FIRST
2014/12/05 09:00:00.000,0.84895,0.84613,0.8484,0.84661
2014/12/05 10:00:00.000,0.85008,0.84783,0.84879,0.84837
2014/12/05 11:00:00.000,0.84924,0.84786,0.84826,0.84878
2014/12/05 12:00:00.000,0.84933,0.84797,0.84921,0.84828
2014/12/05 13:00:00.000,0.85154,0.84914,0.8505,0.84922
2014/12/05 14:00:00.000,0.85291,0.85051,0.8525,0.85051
2014/12/05 15:00:00.000,0.85279,0.8482,0.8494,0.85253
2014/12/05 16:00:00.000,0.85212,0.8484,0.85212,0.84938
2014/12/05 17:00:00.000,0.85332,0.8517,0.85246,0.85214
2014/12/05 18:00:00.000,0.85263,0.85163,0.8517,0.85244
2014/12/05 19:00:00.000,0.85185,0.85093,0.85124,0.85169
2014/12/05 20:00:00.000,0.85123,0.85029,0.85035,0.85123
2014/12/05 21:00:00.000,0.85073,0.84908,0.84976,0.85033
2014/12/05 22:00:00.000,0.85044,0.84923,0.84959,0.84972
2014/12/05 23:00:00.000,0.85054,0.84765,0.84802,0.84957
